name	inn	Company name	revenue_2021_mln_$USA
ООО Леруа Мерлен Восток	5029069967	Leroy Merlin	6342,0
ОАО "ФИЛИП МОРРИС СЭЙЛЗ ЭНД МАРКЕТИНГ"	7710298176	Philip Morris	5457,0
ООО "Эппл Рус"	7707767220	Apple	5361,0
ООО "ФОЛЬКСВАГЕН Груп Рус"	5042059767	Volkswagen	4928,0
ООО ДЖ.Т.И. РОССИЯ	7703386329	Japan Tobacco International	4772,0
ООО «Тойота мотор»	7710390358	Toyota	4611,0
АО "АВТОВАЗ"	6320002223	Renault	4183,0
САМСУНГ ЭЛЕКТРОНИКС РУС КОМПАНИ	7703608910	Samsung	4010,0
ООО "КИА РОССИЯ И СНГ"	7728674093	KIA Motors	3839,0
АО "МЕРСЕДЕС-БЕНЦ РУС"	7707016368	Daimler	3817,0
ООО "БМВ РУСЛАНД ТРЕЙДИНГ"	7712107050	BMW	3188,0
ООО "АШАН"	7703270067	Auchan	3181,0
АО "МУМТ"	7705060700	British American Tobacco	3131,0
ООО "ХЕНДЭ МОТОР СНГ"	7703623202	Hyundai	3115,0
ООО "МЕТРО Кэш энд Керри"	7704218694	Metro AG	3072,0
ООО "ОСТИСИ - АТОН"	7701375466	OSTC Group	2883,0
ООО "ХЕНДЭ МОТОР МАНУФАКТУРИНГ РУС"	7801463902	Hyundai	2875,0
ООО "Нестле Россия"	7705739450	Nestle	2633,0
АО "ГРУППА "ИЛИМ"	7840346335	International Paper	2504,0
ООО ПЕПСИКО ХОЛДИНГС	7705034202	Pepsi	2233,0
ООО "ИКЕА ДОМ"	5047076050	IKEA	2185,0
ООО "Марс"	5045016560	Mars	2160,0
ЗАО "РЕНО РОССИЯ"	7709259743	Renault	2154,0
ООО "Шелл Нефть"	7743792870	Shell	1869,0
ООО "Гугл"	7704582421	Alphabet	1865,0
ЗАО "Филип Моррис Ижора"	4720007247	Philip Morris	1818,0
ООО "Проктер энд Гэмбл Дистрибьюторская Компания"	7701639976	Procter & Gamble	1685,0
ООО "ЛГ Электроникс РУС"	5075018950	LG Electronics	1664,0
ООО "ДК РУС"	7714790325	Daimler Truck	1650,0
ООО “Каргилл”	7113502396	Cargill	1636,0
ООО "ТЕХКОМПАНИЯ ХУАВЭЙ"	7714186804	Huawei	1567,0
ДАНОН ТРЕЙД	5024121469	Danone	1526,0
АО "ВИММ-БИЛЛЬ-ДАНН"	7713085659	Pepsi	1497,0
ООО "ИКЕА ТОРГ"	5047028515	IKEA	1426,0
ООО "Комацу СНГ"	7733556360	Komatsu	1401,0
ООО "НИССАН МЭНУФЭКЧУРИНГ РУС"	7842337791	Nissan	1392,0
ООО "Хенкель Рус"	7702691545	Henkel	1321,0
ПАО "ЮНИПРО"	8602067092	Uniper SE	1307,0
ООО "КОКА-КОЛА ЭЙЧБИСИ ЕВРАЗИЯ"	7701215046	Hellenic Bottling Company	1306,0
AO RAIFFEISENBANK	7744000302	Raiffeisen	1301,0
АО "БАЙЕР"	7704017596	Bayer	1200,0
ООО "Юнилевер Русь"	7705183476	Unilever	1194,0
АО "АБ ИНБЕВ ЭФЕС"	5020037784	AB InBev Efes	1186,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ДАНОН РОССИЯ	7714626332	Danone	1182,0
ООО "ПИВОВАРЕННАЯ КОМПАНИЯ "БАЛТИКА"	7802849641	Carlsberg Group	1147,0
ПАО "ФОРТУМ"	7203162698	Fortum	1146,0
ООО "Джонсон & Джонсон"	7725216105	Johnson & Johnson	1113,0
ООО “ЭЛКО Рус”	5024177951	Elko Grupa	1050,0
ООО "МАКДОНАЛДС"	7710044140	McDonald's	1044,0
ООО "Скания - Русь"	5032073106	Scania	1026,0
АО "АРКОНИК СМЗ"	6310000160	Arconic	1018,0
ООО "Эйч энд Эм"	7705840940	H&M (Hennes and Mauritz)	994,0
АО “МОНДИ СЫКТЫВКАРСКИЙ ЛПК”	1121003135	Mondi Group	992,0
ООО "РУЛОГ"	7732121398	HAVI	975,0
ООО "Империал Тобакко Продажа и Маркетинг"	7710302785	Imperial Brands	971,0
ООО "ВИТЕРРА РУС"	7708525142	Glencore	971,0
ООО "Самсунг Электроникс Рус Калуга"	4025413896	Samsung	965,0
АО(Н) "ВОЛЬВО ВОСТОК"	5032048798	Volvo Cars	956,0
ООО "МОНДЭЛИС РУСЬ"	3321020710	Mondelez	928,0
ЗАО "Л`Ореаль"	7726059896	L'Oreal	896,0
АО "ЧЕРИ АВТОМОБИЛИ РУС"	7743578549	Chery Automobile	864,0
ООО «МАЗДА МОТОР РУС»	7743580770	Mazda	857,0
ООО "БАСФ"	7706800837	BASF SE	825,0
ООО "ХАВЕЙЛ МОТОР РУС"	7729763331	Haval Motor	818,0
ООО "Петро"	7834005168	Japan Tobacco International	797,0
АО "ЗАРА СНГ"	7707099460	Inditex	794,0
ООО "Метинвест Евразия"	7731585968	Metinvest	792,0
ООО "МТ РУССИЯ"	7701716677	Maire Tecnimont	790,0
ООО "Нокиан Шина"	7816162305	Nokian Tyres	790,0
ООО "ММС Рус"	7715397999	Mitsubishi Motors	772,0
ООО "АДИДАС"	7714037390	Adidas	772,0
ООО "Делл"	7704648707	Dell	765,0
ООО "МСМР"	7743816842	Mazda	749,0
ООО "Ренейссанс Хэви Индастрис"	7802772445	Rönesans Holding	742,0
ООО "РЕ Трэйдинг"	7725776121	LPP	735,0
Либхерр-Русланд ООО	7704217309	Liebherr	724,0
АО "САНОФИ РОССИЯ"	7705018169	Sanofi	710,0
КРОНОШПАН	5011021227	Kronospan	703,0
ООО "БСХ БЫТОВЫЕ ПРИБОРЫ"	7819301797	BSH	692,0
ООО "Бургер РУС"	7719723690	Burger King	688,0
АО "ТЕТРА ПАК"	7706017070	Tetra Pak	686,0
ЗАО "Интернешнл Пейпер"	4704012472	Sylvamo	685,0
ООО "Купишуз"	7705935687	Global Fashion Group	674,0
АКЦИОНЕРНОЕ ОБЩЕСТВО НИЖЕГОРОДСКИЙ ХИМИКО-ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД	5260900010	STADA	674,0
ООО "ПСМА РУС"	4027091179	Stellantis	665,0
